# energy(eV) n_real
1.384400000000000075e+00 2.686782462351576584e+00
1.397999999999999909e+00 2.690278795961488889e+00
1.411599999999999966e+00 2.693881957324782306e+00
1.425200000000000022e+00 2.697610053362049065e+00
1.438700000000000090e+00 2.701481075262234910e+00
1.452299999999999924e+00 2.705549851693736407e+00
1.465899999999999981e+00 2.709797041940873008e+00
1.479400000000000048e+00 2.714240245436700949e+00
1.493000000000000105e+00 2.718804984020152027e+00
1.506599999999999939e+00 2.723472360621271626e+00
1.520199999999999996e+00 2.728260263244837169e+00
1.533700000000000063e+00 2.733113288803077801e+00
1.547299999999999898e+00 2.738031250629675117e+00
1.560899999999999954e+00 2.743032205131724410e+00
1.574500000000000011e+00 2.748061277535344793e+00
1.588000000000000078e+00 2.753154888099932585e+00
1.601599999999999913e+00 2.758294741282892648e+00
1.615199999999999969e+00 2.763462800985676537e+00
1.628700000000000037e+00 2.768659120035652066e+00
1.642300000000000093e+00 2.773865893851527709e+00
1.655899999999999928e+00 2.779101281650181665e+00
1.669499999999999984e+00 2.784347609812762414e+00
1.683000000000000052e+00 2.789587131894680105e+00
1.696600000000000108e+00 2.794856176147347160e+00
1.710199999999999942e+00 2.800101431374836469e+00
1.723799999999999999e+00 2.805341099787484360e+00
1.737300000000000066e+00 2.810593403966408665e+00
1.750899999999999901e+00 2.815805661861955578e+00
1.764499999999999957e+00 2.821014034337307130e+00
1.778000000000000025e+00 2.826183407585565632e+00
1.791600000000000081e+00 2.831350068873036641e+00
1.805199999999999916e+00 2.836461397192937106e+00
1.818799999999999972e+00 2.841553712172896429e+00
1.832300000000000040e+00 2.846609776850471452e+00
1.845900000000000096e+00 2.851613175074540596e+00
1.859499999999999931e+00 2.856564391283752613e+00
1.873099999999999987e+00 2.861464695458000751e+00
1.886600000000000055e+00 2.866331968992995805e+00
1.900199999999999889e+00 2.871115253911818321e+00
1.913799999999999946e+00 2.875850406782423097e+00
1.927400000000000002e+00 2.880503139185595973e+00
1.940900000000000070e+00 2.885091804082851930e+00
1.954499999999999904e+00 2.889600682318727465e+00
1.968099999999999961e+00 2.894013657533886619e+00
1.981600000000000028e+00 2.898348515152734173e+00
1.995200000000000085e+00 2.902572613300300475e+00
2.008799999999999919e+00 2.906703708136424869e+00
2.022400000000000198e+00 2.910726560529345974e+00
2.035899999999999821e+00 2.914641693899304276e+00
2.049500000000000099e+00 2.918416977513331290e+00
2.063099999999999934e+00 2.922070088332640925e+00
2.076700000000000212e+00 2.925569137019522703e+00
2.090199999999999836e+00 2.928915667209097240e+00
2.103800000000000114e+00 2.932093247498800626e+00
2.117399999999999949e+00 2.935103369002412421e+00
2.130900000000000016e+00 2.937897702744976414e+00
2.144499999999999851e+00 2.940494955790253773e+00
2.158100000000000129e+00 2.942861868434811345e+00
2.171699999999999964e+00 2.944949427074565751e+00
2.185200000000000031e+00 2.946761861757781098e+00
2.198799999999999866e+00 2.948246831465209716e+00
2.212400000000000144e+00 2.949359402867172353e+00
2.225999999999999979e+00 2.950047191894284992e+00
2.239500000000000046e+00 2.950215151631234711e+00
2.253099999999999881e+00 2.949760213152846866e+00
2.266700000000000159e+00 2.948486601003406093e+00
2.280199999999999783e+00 2.946073268660696076e+00
2.293800000000000061e+00 2.941745966687030478e+00
2.307399999999999896e+00 2.934832621209011894e+00
2.321000000000000174e+00 2.927932614217959362e+00
2.334499999999999797e+00 2.923807241498689535e+00
2.348100000000000076e+00 2.921168008456874965e+00
2.361699999999999910e+00 2.919523723269070281e+00
2.375300000000000189e+00 2.918641844628226956e+00
2.388799999999999812e+00 2.918367012812756123e+00
2.402400000000000091e+00 2.918614558608127574e+00
2.415999999999999925e+00 2.919302856940112267e+00
2.429499999999999993e+00 2.920360449545680304e+00
2.443099999999999827e+00 2.921771664003992797e+00
2.456700000000000106e+00 2.923502135165347404e+00
2.470299999999999940e+00 2.925481956929221639e+00
2.483800000000000008e+00 2.927729247080521624e+00
2.497399999999999842e+00 2.930211322830814868e+00
2.511000000000000121e+00 2.932888885881465235e+00
2.524599999999999955e+00 2.935783360257611552e+00
2.538100000000000023e+00 2.938840317551078218e+00
2.551699999999999857e+00 2.942061038520081162e+00
2.565300000000000136e+00 2.945445116764068505e+00
2.578800000000000203e+00 2.948975349832491766e+00
2.592400000000000038e+00 2.952649671707112233e+00
2.605999999999999872e+00 2.956437635015412013e+00
2.619600000000000151e+00 2.960335594787427027e+00
2.633100000000000218e+00 2.964359987220490211e+00
2.646700000000000053e+00 2.968480618462821852e+00
2.660299999999999887e+00 2.972693880488645135e+00
2.673900000000000166e+00 2.977001349285843368e+00
2.687399999999999789e+00 2.981386298322619588e+00
2.701000000000000068e+00 2.985846902870926023e+00
2.714599999999999902e+00 2.990403173007994742e+00
2.728200000000000180e+00 2.995001931904338832e+00
2.741699999999999804e+00 2.999678028784835249e+00
2.755300000000000082e+00 3.004413178441767585e+00
2.768899999999999917e+00 3.009194657811410600e+00
2.782399999999999984e+00 3.014035367856280345e+00
2.795999999999999819e+00 3.018920857630576826e+00
2.809600000000000097e+00 3.023833117873401477e+00
2.823199999999999932e+00 3.028774274987343418e+00
2.836699999999999999e+00 3.033757076175146228e+00
2.850299999999999834e+00 3.038767325243152406e+00
2.863900000000000112e+00 3.043803346864399462e+00
2.877499999999999947e+00 3.048881520196439432e+00
2.891000000000000014e+00 3.054003935270579451e+00
2.904599999999999849e+00 3.059154668116935483e+00
2.918200000000000127e+00 3.064331993175740010e+00
2.931700000000000195e+00 3.069552172570765070e+00
2.945300000000000029e+00 3.074817375590511492e+00
2.958899999999999864e+00 3.080109764182145771e+00
2.972500000000000142e+00 3.085447581781786131e+00
2.986000000000000210e+00 3.090813023510277535e+00
2.999600000000000044e+00 3.096202098458637586e+00
3.013199999999999878e+00 3.101648727026214747e+00
3.026800000000000157e+00 3.107168680455522747e+00
3.040299999999999780e+00 3.112775416501687875e+00
3.053900000000000059e+00 3.118468631371304589e+00
3.067499999999999893e+00 3.124328686187377357e+00
3.080999999999999961e+00 3.130388310621921022e+00
3.094599999999999795e+00 3.136695819935057195e+00
3.108200000000000074e+00 3.143144157230508995e+00
3.121799999999999908e+00 3.149674089773836005e+00
3.135299999999999976e+00 3.156211678092604167e+00
3.148899999999999810e+00 3.162692410116364705e+00
3.162500000000000089e+00 3.168984692268632219e+00
3.176099999999999923e+00 3.174905373303741563e+00
3.189599999999999991e+00 3.179858954721504816e+00
3.203199999999999825e+00 3.184445351738260932e+00
3.216800000000000104e+00 3.190524399738967620e+00
3.230300000000000171e+00 3.197605783092740683e+00
3.243900000000000006e+00 3.205412508791371184e+00
3.257499999999999840e+00 3.213864610969674462e+00
3.271100000000000119e+00 3.222958190833447478e+00
3.284600000000000186e+00 3.232746670646787557e+00
3.298200000000000021e+00 3.243407156602366115e+00
3.311799999999999855e+00 3.255316070714825205e+00
3.325400000000000134e+00 3.268580490271031369e+00
3.338900000000000201e+00 3.282608859610239183e+00
3.352500000000000036e+00 3.297146986847509176e+00
3.366099999999999870e+00 3.311310248898773345e+00
3.379599999999999937e+00 3.323011314368693014e+00
3.393200000000000216e+00 3.331865354207602881e+00
3.406800000000000050e+00 3.338823138283601999e+00
3.420399999999999885e+00 3.344273736728193391e+00
3.433899999999999952e+00 3.348484176960315750e+00
3.447499999999999787e+00 3.351662820763685602e+00
3.461100000000000065e+00 3.353926630059079095e+00
3.474699999999999900e+00 3.355385531661853271e+00
3.488199999999999967e+00 3.356066840021001418e+00
3.501799999999999802e+00 3.356003915783259295e+00
3.515400000000000080e+00 3.355208831521113488e+00
3.528999999999999915e+00 3.353682663301449374e+00
3.542499999999999982e+00 3.351407854836716105e+00
3.556099999999999817e+00 3.348428287180893470e+00
3.569700000000000095e+00 3.344738418833368421e+00
3.583200000000000163e+00 3.340350025843387360e+00
3.596799999999999997e+00 3.335241161107501462e+00
3.610399999999999832e+00 3.329232050331195403e+00
3.624000000000000110e+00 3.322211439783565368e+00
3.637500000000000178e+00 3.314519970448637665e+00
3.651100000000000012e+00 3.306553917609498683e+00
3.664699999999999847e+00 3.298280108731831639e+00
3.678300000000000125e+00 3.289739385870981359e+00
3.691800000000000193e+00 3.281022575457208212e+00
3.705400000000000027e+00 3.272262812504181273e+00
3.718999999999999861e+00 3.263413473948596266e+00
3.732499999999999929e+00 3.254537737524317187e+00
3.746100000000000207e+00 3.245754351537926574e+00
3.759700000000000042e+00 3.236684652754571623e+00
3.773299999999999876e+00 3.226998483242210725e+00
3.786799999999999944e+00 3.216840578164009035e+00
3.800399999999999778e+00 3.206237368151081402e+00
3.814000000000000057e+00 3.195232349402140404e+00
3.827599999999999891e+00 3.183797159935416232e+00
3.841099999999999959e+00 3.171933921053487371e+00
3.854699999999999793e+00 3.159608777433960292e+00
3.868300000000000072e+00 3.146779574774511090e+00
3.881800000000000139e+00 3.133319145116001181e+00
3.895399999999999974e+00 3.119041830508288093e+00
3.908999999999999808e+00 3.104039385745496649e+00
3.922600000000000087e+00 3.088443012434049173e+00
3.936100000000000154e+00 3.072320021350582131e+00
3.949699999999999989e+00 3.055708168907378841e+00
3.963299999999999823e+00 3.038657594057682765e+00
3.976900000000000102e+00 3.021167176929913545e+00
3.990400000000000169e+00 3.003212507294105826e+00
4.003999999999999559e+00 2.984659415964439511e+00
4.017599999999999838e+00 2.965078131885301449e+00
4.031100000000000350e+00 2.942767690708138151e+00
4.044699999999999740e+00 2.916643252756014881e+00
4.058300000000000018e+00 2.899213437806640759e+00
4.071900000000000297e+00 2.887746234529894540e+00
4.085399999999999920e+00 2.880690584312386449e+00
4.099000000000000199e+00 2.877208878119708491e+00
4.112599999999999589e+00 2.876884000323521651e+00
4.126199999999999868e+00 2.879071444096288790e+00
4.139700000000000379e+00 2.880369008240196926e+00
4.153299999999999770e+00 2.879142873617695830e+00
4.166900000000000048e+00 2.876450656015347551e+00
4.180500000000000327e+00 2.872773276471518145e+00
4.193999999999999950e+00 2.868306054562117069e+00
4.207600000000000229e+00 2.863241036785481697e+00
4.221199999999999619e+00 2.857697985091360415e+00
4.234700000000000131e+00 2.851747788246493887e+00
4.248300000000000409e+00 2.845444531919952169e+00
4.261899999999999800e+00 2.838851250621479583e+00
4.275500000000000078e+00 2.831979814228015702e+00
4.288999999999999702e+00 2.824848872837760538e+00
4.302599999999999980e+00 2.817427623952604598e+00
4.316200000000000259e+00 2.809658851668678459e+00
4.329799999999999649e+00 2.801596036711800686e+00
4.343300000000000161e+00 2.793120823971816158e+00
4.356900000000000439e+00 2.784101439670068068e+00
4.370499999999999829e+00 2.774881215009939783e+00
4.384000000000000341e+00 2.765669234518910446e+00
4.397599999999999731e+00 2.756736303345886263e+00
4.411200000000000010e+00 2.748321494943218202e+00
4.424800000000000288e+00 2.740694344114489756e+00
4.438299999999999912e+00 2.734301739934551279e+00
4.451900000000000190e+00 2.729790332544951514e+00
4.465499999999999581e+00 2.728740820850701798e+00
4.479099999999999859e+00 2.733430226980809952e+00
4.492600000000000371e+00 2.740967175613120865e+00
4.506199999999999761e+00 2.748346570585303628e+00
4.519800000000000040e+00 2.755162051917917854e+00
4.533299999999999663e+00 2.760669836212612527e+00
4.546899999999999942e+00 2.765291905000540673e+00
4.560500000000000220e+00 2.769369936722257286e+00
4.574099999999999611e+00 2.773062489416116883e+00
4.587600000000000122e+00 2.776513879444304500e+00
4.601200000000000401e+00 2.779814681777823981e+00
4.614799999999999791e+00 2.783053574063381497e+00
4.628400000000000070e+00 2.786325561157879438e+00
4.641899999999999693e+00 2.789630537848163172e+00
4.655499999999999972e+00 2.793013139400597034e+00
4.669100000000000250e+00 2.796509595514821811e+00
4.682599999999999874e+00 2.800127780287209767e+00
4.696200000000000152e+00 2.803926800949455345e+00
4.709800000000000431e+00 2.807920950703353569e+00
4.723399999999999821e+00 2.812139284980884391e+00
4.736900000000000333e+00 2.816632125629090488e+00
4.750499999999999723e+00 2.821451162981777117e+00
4.764100000000000001e+00 2.826624822911339763e+00
4.777700000000000280e+00 2.832225650803290140e+00
4.791199999999999903e+00 2.838361758532669032e+00
4.804800000000000182e+00 2.845127553051535418e+00
4.818399999999999572e+00 2.852814458852796164e+00
4.831900000000000084e+00 2.861796998222428279e+00
4.845500000000000362e+00 2.871835938513392694e+00
4.859099999999999753e+00 2.882202260463825105e+00
4.872700000000000031e+00 2.893342743831158081e+00
4.886199999999999655e+00 2.905380899614315560e+00
4.899799999999999933e+00 2.917919265016836405e+00
4.913400000000000212e+00 2.931066067043705647e+00
4.926999999999999602e+00 2.944913296302930750e+00
4.940500000000000114e+00 2.959502094047465892e+00
4.954100000000000392e+00 2.974947560883055786e+00
4.967699999999999783e+00 2.991408803666905758e+00
4.981300000000000061e+00 3.009053159746255979e+00
4.994799999999999685e+00 3.028250176476274369e+00
5.008399999999999963e+00 3.049133842822420171e+00
5.022000000000000242e+00 3.072892007108415591e+00
5.035499999999999865e+00 3.106696411368194077e+00
5.049100000000000144e+00 3.145943991207142965e+00
5.062700000000000422e+00 3.185073643144332056e+00
5.076299999999999812e+00 3.220625388652803345e+00
5.089800000000000324e+00 3.251374283931569131e+00
5.103399999999999714e+00 3.278937119189511140e+00
5.116999999999999993e+00 3.305952471097843404e+00
5.130600000000000271e+00 3.334724515776819054e+00
5.144099999999999895e+00 3.361002259948924209e+00
5.157700000000000173e+00 3.385259952677504458e+00
5.171299999999999564e+00 3.407932633379062715e+00
5.184800000000000075e+00 3.431545654127076794e+00
5.198400000000000354e+00 3.456452003821348207e+00
5.211999999999999744e+00 3.449767403562976842e+00
5.225600000000000023e+00 3.422900242261447179e+00
5.239099999999999646e+00 3.402362075253697160e+00
5.252699999999999925e+00 3.410217456174525097e+00
5.266300000000000203e+00 3.378846043119564158e+00
5.279899999999999594e+00 3.302340819018892759e+00
5.293400000000000105e+00 3.243881307281902160e+00
5.307000000000000384e+00 3.198746006912672080e+00
5.320599999999999774e+00 3.160643344164321356e+00
5.334100000000000286e+00 3.127338711376115743e+00
5.347699999999999676e+00 3.097227331694172747e+00
5.361299999999999955e+00 3.068983471073375657e+00
5.374900000000000233e+00 3.041573534469732110e+00
5.388399999999999856e+00 3.016247017125921914e+00
5.402000000000000135e+00 3.000171904995300398e+00
5.415600000000000414e+00 2.872908877243138370e+00
5.429199999999999804e+00 2.732507037113223181e+00
5.442700000000000315e+00 2.699979570611608981e+00
5.456299999999999706e+00 2.681942113774590020e+00
5.469899999999999984e+00 2.659091454649969322e+00
5.483399999999999608e+00 2.631699734942551494e+00
5.496999999999999886e+00 2.594738305760600827e+00
5.510600000000000165e+00 2.545449914338587138e+00
5.524200000000000443e+00 2.493307168354971015e+00
5.537700000000000067e+00 2.464386671241217464e+00
5.551300000000000345e+00 2.455793734615547397e+00
5.564899999999999736e+00 2.437906361947557166e+00
5.578500000000000014e+00 2.413601810704972372e+00
5.591999999999999638e+00 2.389483224662722893e+00
5.605599999999999916e+00 2.365246366612772988e+00
5.619200000000000195e+00 2.340097855168574714e+00
5.632699999999999818e+00 2.313806222065653007e+00
5.646300000000000097e+00 2.286499622234129170e+00
5.659900000000000375e+00 2.258229830873068167e+00
5.673499999999999766e+00 2.229104767417816824e+00
5.687000000000000277e+00 2.199148764338803907e+00
5.700599999999999667e+00 2.168358514965899708e+00
5.714199999999999946e+00 2.136702335921707885e+00
5.727800000000000225e+00 2.104118892227069715e+00
5.741299999999999848e+00 2.070391420009781047e+00
5.754900000000000126e+00 2.034256808217868695e+00
5.768500000000000405e+00 1.997086660912885225e+00
5.782099999999999795e+00 1.957325800416302997e+00
5.795600000000000307e+00 1.913790094707160439e+00
5.809199999999999697e+00 1.860397683057343210e+00
5.822799999999999976e+00 1.808791511751661307e+00
5.836299999999999599e+00 1.765785835233344203e+00
5.849899999999999878e+00 1.744558707693255606e+00
5.863500000000000156e+00 1.728650974021709530e+00
5.877100000000000435e+00 1.723203885804035496e+00
5.890600000000000058e+00 1.716518765611875885e+00
5.904200000000000337e+00 1.707347285033127493e+00
5.917799999999999727e+00 1.696876004250292169e+00
5.931400000000000006e+00 1.686083427256624079e+00
5.944899999999999629e+00 1.675457795359161395e+00
5.958499999999999908e+00 1.665469768810266427e+00
5.972100000000000186e+00 1.656902533917443687e+00
5.985599999999999810e+00 1.651774098059396900e+00
5.999200000000000088e+00 1.659772711543800128e+00
6.012800000000000367e+00 1.678069759384336779e+00
6.026399999999999757e+00 1.686006030262694910e+00
6.039900000000000269e+00 1.687424673876801728e+00
6.053499999999999659e+00 1.689448779289562275e+00
6.067099999999999937e+00 1.693677343668429369e+00
6.080700000000000216e+00 1.687085207130870401e+00
6.094199999999999839e+00 1.672730448269159398e+00
6.107800000000000118e+00 1.652502871437926846e+00
6.121400000000000396e+00 1.628166005360250246e+00
6.134900000000000020e+00 1.602287971229834129e+00
6.148500000000000298e+00 1.579295672948581641e+00
6.162099999999999689e+00 1.575770867823380605e+00
6.175699999999999967e+00 1.603753869053146985e+00
6.189199999999999591e+00 1.626029781655725426e+00
6.202799999999999869e+00 1.646271344974447937e+00
6.216400000000000148e+00 1.665597414806584187e+00
6.230000000000000426e+00 1.684493551340543904e+00
6.243500000000000050e+00 1.703347066140430188e+00
6.257100000000000328e+00 1.722619498939992555e+00
6.270699999999999719e+00 1.743968939845719435e+00
6.284200000000000230e+00 1.764605504892027499e+00
6.297799999999999621e+00 1.782446569782786039e+00
6.311399999999999899e+00 1.799082989025004409e+00
6.325000000000000178e+00 1.814733247013585515e+00
6.338499999999999801e+00 1.829473699771101858e+00
6.352100000000000080e+00 1.843422812907449249e+00
6.365700000000000358e+00 1.856589117755991669e+00
6.379299999999999748e+00 1.868945467988774922e+00
6.392800000000000260e+00 1.880571361845712275e+00
6.406399999999999650e+00 1.891845276611353377e+00
6.419999999999999929e+00 1.902858685050291543e+00
6.433500000000000441e+00 1.913741328170344591e+00
6.447099999999999831e+00 1.924705922293911131e+00
6.460700000000000109e+00 1.935943926189214404e+00
6.474300000000000388e+00 1.947650545131557109e+00
6.487800000000000011e+00 1.959690524791081190e+00
6.501400000000000290e+00 1.972387666909988013e+00
6.514999999999999680e+00 1.986513085098082998e+00
6.528599999999999959e+00 2.003194119985368449e+00
6.542099999999999582e+00 2.024210882775655751e+00
6.555699999999999861e+00 2.052797575897030491e+00
6.569300000000000139e+00 2.095924478827082993e+00
6.582900000000000418e+00 2.172677480146973927e+00
6.596400000000000041e+00 2.353209970852259580e+00
6.610000000000000320e+00 2.712269246848931559e+00
6.623599999999999710e+00 2.741226409498216388e+00
6.637100000000000222e+00 2.101949952050637727e+00
6.650699999999999612e+00 2.016413076757605616e+00
6.664299999999999891e+00 1.969191706216764759e+00
6.677900000000000169e+00 1.911255546434235786e+00
6.691399999999999793e+00 1.851996902463956873e+00
6.705000000000000071e+00 1.794179524019379190e+00
6.718600000000000350e+00 1.738800250850537354e+00
6.732199999999999740e+00 1.687419623141330316e+00
6.745700000000000252e+00 1.645354093190039890e+00
6.759299999999999642e+00 1.613042952386277928e+00
6.772899999999999920e+00 1.589793818098280909e+00
6.786400000000000432e+00 1.575179186045099211e+00
6.799999999999999822e+00 1.568961465655469789e+00
6.813600000000000101e+00 1.571297937924655219e+00
6.827200000000000379e+00 1.580524564350993311e+00
6.840700000000000003e+00 1.598368677081579259e+00
6.854300000000000281e+00 1.629939420826838736e+00
6.867899999999999672e+00 1.652220805183874042e+00
6.881499999999999950e+00 1.668167589878950530e+00
6.894999999999999574e+00 1.678063168158405505e+00
6.908599999999999852e+00 1.682469855033913220e+00
6.922200000000000131e+00 1.682398751822925309e+00
6.935699999999999754e+00 1.678796627163031907e+00
6.949300000000000033e+00 1.672831754282866346e+00
6.962900000000000311e+00 1.664971475102254184e+00
6.976499999999999702e+00 1.658113825894235172e+00
6.990000000000000213e+00 1.677679202257299274e+00
7.003599999999999604e+00 1.590432919689835245e+00
7.017199999999999882e+00 1.583946758731477944e+00
7.030800000000000161e+00 1.570015102539138230e+00
7.044299999999999784e+00 1.553021074612658037e+00
7.057900000000000063e+00 1.534549371328306044e+00
7.071500000000000341e+00 1.516681353649704578e+00
7.084999999999999964e+00 1.508576241330075174e+00
7.098600000000000243e+00 1.504617122686286779e+00
7.112199999999999633e+00 1.498523584617633908e+00
7.125799999999999912e+00 1.491088609197698256e+00
7.139300000000000423e+00 1.482660983189050263e+00
7.152899999999999814e+00 1.473288173857034922e+00
7.166500000000000092e+00 1.463005530942233623e+00
7.180100000000000371e+00 1.452014132130265089e+00
7.193599999999999994e+00 1.440179284234204715e+00
7.207200000000000273e+00 1.426996773612554836e+00
7.220799999999999663e+00 1.409362183842576943e+00
7.234399999999999942e+00 1.388547632541975663e+00
7.247899999999999565e+00 1.367417373343716713e+00
7.261499999999999844e+00 1.345875893479497210e+00
7.275100000000000122e+00 1.324974118117452138e+00
7.288599999999999746e+00 1.304438948778809726e+00
7.302200000000000024e+00 1.284208750712050318e+00
7.315800000000000303e+00 1.266032406276359268e+00
7.329399999999999693e+00 1.267817388709181481e+00
7.342900000000000205e+00 1.230789572821245681e+00
7.356499999999999595e+00 1.232229883804109249e+00
7.370099999999999874e+00 1.231456933368324957e+00
7.383700000000000152e+00 1.230943576224387437e+00
7.397199999999999775e+00 1.230424890908522695e+00
7.410800000000000054e+00 1.229700406329585771e+00
7.424400000000000333e+00 1.230481836389345052e+00
7.437899999999999956e+00 1.252075370195524062e+00
7.451500000000000234e+00 1.209975548185288297e+00
7.465099999999999625e+00 1.216479197388422140e+00
7.478699999999999903e+00 1.219925315510932418e+00
7.492200000000000415e+00 1.221951264017866245e+00
7.505799999999999805e+00 1.223161581181469559e+00
7.519400000000000084e+00 1.223863150517829901e+00
7.533000000000000362e+00 1.223782933344642831e+00
7.546499999999999986e+00 1.223360791043441420e+00
7.560100000000000264e+00 1.223007215325613739e+00
7.573699999999999655e+00 1.222064718377011028e+00
7.587200000000000166e+00 1.221360770853870736e+00
7.600799999999999557e+00 1.219934132429671081e+00
7.614399999999999835e+00 1.217157732134337644e+00
7.628000000000000114e+00 1.213436194277379920e+00
7.641499999999999737e+00 1.209274193508141915e+00
7.655100000000000016e+00 1.204713438303597117e+00
7.668700000000000294e+00 1.198383929150128369e+00
7.682299999999999685e+00 1.188308846616904280e+00
7.695800000000000196e+00 1.192860157586971948e+00
7.709399999999999586e+00 1.195263723190710614e+00
7.722999999999999865e+00 1.196389394745363877e+00
7.736500000000000377e+00 1.196378098930515943e+00
7.750099999999999767e+00 1.195013846164086901e+00
7.763700000000000045e+00 1.191851725814801144e+00
7.777300000000000324e+00 1.185703430660962177e+00
7.790799999999999947e+00 1.170717288926179656e+00
7.804400000000000226e+00 1.108695282716762875e+00
7.817999999999999616e+00 1.107530048684164381e+00
7.831599999999999895e+00 1.101927090312281088e+00
7.845100000000000406e+00 1.094825861282246127e+00
7.858699999999999797e+00 1.086939229677089891e+00
7.872300000000000075e+00 1.078684079116208228e+00
7.885799999999999699e+00 1.070648097221724715e+00
